triangle,target,leg1,leg2,score,adf_p,half_life,resid_std,n
AAVEUSDT|BTCUSDT|ETHUSDT,AAVEUSDT,BTCUSDT,ETHUSDT,-0.13851941703359727,1.432927871640603e-07,16.622312848897213,0.1502121223514987,1419
DYDXUSDT|BNBUSDT|SOLUSDT,DYDXUSDT,BNBUSDT,SOLUSDT,-0.13857822138438142,2.3308014414854474e-05,16.62658960439599,0.19116618653912704,1090
KNCUSDT|ETHUSDT|BNBUSDT,KNCUSDT,ETHUSDT,BNBUSDT,-0.13876799153732075,0.00034529936205403413,16.610723061032004,0.1976612857559731,1535
ENJUSDT|BNBUSDT|SOLUSDT,ENJUSDT,BNBUSDT,SOLUSDT,-0.13895348314883632,4.5296180738495116e-07,16.674363622443472,0.18650569025126207,1436
THETAUSDT|BTCUSDT|BNBUSDT,THETAUSDT,BTCUSDT,BNBUSDT,-0.13953379739069616,3.0563802952211403e-06,16.743688921248115,0.17299180337520878,1561
DASHUSDT|ETHUSDT|BNBUSDT,DASHUSDT,ETHUSDT,BNBUSDT,-0.1395752156113755,2.4024617862260355e-08,16.749022990410918,0.131424951262204,1668
AAVEUSDT|ETHUSDT|SOLUSDT,AAVEUSDT,ETHUSDT,SOLUSDT,-0.1395782384717877,2.142763420740195e-06,16.749131485004035,0.14863353474108906,1419
VETUSDT|BTCUSDT|SOLUSDT,VETUSDT,BTCUSDT,SOLUSDT,-0.13959181970488932,6.261738584148317e-07,16.75094322372371,0.1474734016502853,1451
ZENUSDT|ETHUSDT|BNBUSDT,ZENUSDT,ETHUSDT,BNBUSDT,-0.1398601962109942,3.6308394725363252e-06,16.7827878445826,0.16354302191730552,1380
KAVAUSDT|ETHUSDT|SOLUSDT,KAVAUSDT,ETHUSDT,SOLUSDT,-0.14010108149475092,0.0008493376460827586,16.71020926184018,0.16945490075033,1451
HBARUSDT|ETHUSDT|SOLUSDT,HBARUSDT,ETHUSDT,SOLUSDT,-0.1401274807714651,5.97186517012355e-05,16.808131454371665,0.1542304961666356,1267
THETAUSDT|BNBUSDT|SOLUSDT,THETAUSDT,BNBUSDT,SOLUSDT,-0.14054719821199646,1.9918495203838567e-08,16.86566139522015,0.18604924245590804,1451
CRVUSDT|ETHUSDT|SOLUSDT,CRVUSDT,ETHUSDT,SOLUSDT,-0.14060892798270408,1.8400014993804872e-06,16.872850557744563,0.20577327028440026,1451
MASKUSDT|BTCUSDT|BNBUSDT,MASKUSDT,BTCUSDT,BNBUSDT,-0.1408537233194192,0.006902137816239423,16.074190260381574,0.216975171555939,1104
NEOUSDT|BNBUSDT|SOLUSDT,NEOUSDT,BNBUSDT,SOLUSDT,-0.1409176742942277,6.147695684942923e-06,16.909383191825132,0.15058433141749744,1451
EGLDUSDT|ETHUSDT|BNBUSDT,EGLDUSDT,ETHUSDT,BNBUSDT,-0.14094456510810432,2.423039675804853e-07,16.913318736496407,0.1668628048894095,1451
KNCUSDT|BTCUSDT|BNBUSDT,KNCUSDT,BTCUSDT,BNBUSDT,-0.1410015282666176,5.687900083122525e-07,16.920115137193115,0.19274380494866325,1535
COTIUSDT|ETHUSDT|BNBUSDT,COTIUSDT,ETHUSDT,BNBUSDT,-0.14102913547342644,2.628489831917252e-06,16.923180838031342,0.1892048953116131,1274
XLMUSDT|BTCUSDT|SOLUSDT,XLMUSDT,BTCUSDT,SOLUSDT,-0.1410956993778416,1.8061962762103737e-08,16.931481757905463,0.136060543283085,1451
NEOUSDT|BTCUSDT|ETHUSDT,NEOUSDT,BTCUSDT,ETHUSDT,-0.14113385318342556,2.3388265222525318e-07,16.9360343160928,0.1544086293740637,1661
MANAUSDT|ETHUSDT|BNBUSDT,MANAUSDT,ETHUSDT,BNBUSDT,-0.14141762412104927,1.2684038505871586e-05,16.968592809905207,0.21206227696268012,1269
RVNUSDT|BTCUSDT|BNBUSDT,RVNUSDT,BTCUSDT,BNBUSDT,-0.1416137285257593,7.943983580715044e-08,16.993637890310815,0.15274311057522058,1289
XTZUSDT|ETHUSDT|SOLUSDT,XTZUSDT,ETHUSDT,SOLUSDT,-0.14165785337695186,2.3822100934784785e-05,16.996083753122047,0.13922107373078793,1451
RVNUSDT|ETHUSDT|SOLUSDT,RVNUSDT,ETHUSDT,SOLUSDT,-0.14208154418172103,7.995788020355168e-05,17.040190356182098,0.17631344611727656,1289
ONTUSDT|ETHUSDT|BNBUSDT,ONTUSDT,ETHUSDT,BNBUSDT,-0.14238256043198425,5.138113187831826e-07,17.085845594479856,0.1471335249084767,1667
NEARUSDT|BTCUSDT|ETHUSDT,NEARUSDT,BTCUSDT,ETHUSDT,-0.1426242883584164,3.1912843918583142e-06,17.114531648882945,0.20552958266896498,1420
ATOMUSDT|BTCUSDT|ETHUSDT,ATOMUSDT,BTCUSDT,ETHUSDT,-0.14288994063696436,2.5492402832359396e-07,17.146762285552324,0.18105028171374798,1671
SNXUSDT|BTCUSDT|ETHUSDT,SNXUSDT,BTCUSDT,ETHUSDT,-0.14304281582303296,2.175368337941473e-07,17.1651117943439,0.17553405921429338,1482
VETUSDT|ETHUSDT|BNBUSDT,VETUSDT,ETHUSDT,BNBUSDT,-0.1431997019179773,1.866300887547191e-09,17.18396400620117,0.17213283885908676,1664
COMPUSDT|BTCUSDT|ETHUSDT,COMPUSDT,BTCUSDT,ETHUSDT,-0.143210055161105,5.651158301647423e-07,17.18513880543298,0.17202930106990744,1527
ICXUSDT|BTCUSDT|ETHUSDT,ICXUSDT,BTCUSDT,ETHUSDT,-0.14359061444773097,7.723031699590316e-08,17.230864466089677,0.15744009036330248,1450
