n_triangles,window,entry_z,exit_z,weight_cap,is_sharpe,is_cagr,is_max_dd,is_n_days,robust_score,min_yearly_sharpe,yearly_sharpes
8,90,2.5,0.75,0.15,0.39146469734583905,0.048797080433098605,-0.219831254329806,1827,0.20715219654637373,-0.35535344274406533,"{2020: nan, 2021: 0.9475357770433864, 2022: 0.6541514495414825, 2023: 0.3253611626271949, 2024: -0.35535344274406533}"
10,90,3.0,0.5,0.15,0.26142428270813944,0.02645870987889798,-0.27196094150342787,1827,0.2068676645966005,-0.03474256945568762,"{2020: nan, 2021: 0.5715842146393806, 2022: -0.03474256945568762, 2023: 0.44737560983770863, 2024: 0.3817211158119718}"
8,120,2.0,0.75,0.15,0.39553982695548734,0.055584623945855505,-0.24749566310197102,1827,0.2046061774851139,-0.2346377191232209,"{2020: nan, 2021: 0.9023046663331005, 2022: 0.8617148521042887, 2023: -0.15429376881346882, 2024: -0.2346377191232209}"
8,90,2.5,0.75,0.2,0.3887709672125531,0.05973725868009172,-0.28667115098375573,1827,0.2009351611663741,-0.37208819247418917,"{2020: nan, 2021: 0.9475357770433869, 2022: 0.6541514495414825, 2023: 0.32536116262719506, 2024: -0.37208819247418917}"
8,120,2.0,0.75,0.2,0.392809789556092,0.06664429712609676,-0.3225397996075541,1827,0.19968641463478798,-0.24647887948107425,"{2020: nan, 2021: 0.9023046663331008, 2022: 0.8546736780619566, 2023: -0.1542937688134687, 2024: -0.24647887948107425}"
10,120,3.0,0.5,0.25,0.4417567719284495,0.07758908141367016,-0.4278153316297403,1827,0.199409512650095,-0.01815177151158764,"{2020: nan, 2021: 1.4723469635788788, 2022: 0.3044980176733562, 2023: 0.917403294232148, 2024: -0.01815177151158764}"
10,90,3.0,0.5,0.2,0.24261559655050763,0.027377376804115672,-0.3455810007211644,1827,0.19832632293645996,-0.01094455756084794,"{2020: nan, 2021: 0.4769601733308701, 2022: -0.01094455756084794, 2023: 0.4254209652023635, 2024: 0.3817211158119719}"
8,90,2.5,0.5,0.25,0.3501758778633897,0.058792930004072375,-0.35541270366278166,1827,0.19529577205733695,-0.25711756323844115,"{2020: nan, 2021: 0.6576960532024478, 2022: 0.5863353339546934, 2023: 0.4328271649793022, 2024: -0.25711756323844115}"
12,90,2.5,0.5,0.25,0.4054063981034919,0.08294812633982107,-0.38110369454987425,1827,0.1948991866001798,-0.20468369791099855,"{2020: nan, 2021: 0.6590009523415851, 2022: 0.7119546193932791, 2023: 0.42672295213506023, 2024: -0.20468369791099855}"
8,90,2.5,0.5,0.15,0.3392623537873689,0.041505074260842045,-0.22300806878149215,1827,0.19158916113185337,-0.28977115670715564,"{2020: nan, 2021: 0.6469479962461391, 2022: 0.5930195254489554, 2023: 0.4484275544436375, 2024: -0.28977115670715564}"
