time,daily_return,equity,drawdown,sample
2023-11-20 00:00:00+00:00,-0.004659833505693235,16.74511580173009,-0.11689778578675569,in_sample
2023-11-21 00:00:00+00:00,-0.010900954224833838,16.56257806088589,-0.1265244425997436,in_sample
2023-11-22 00:00:00+00:00,0.012559415597348755,16.770594362116086,-0.11555410006022804,in_sample
2023-11-23 00:00:00+00:00,-0.00015440373612619007,16.768004919689517,-0.11569066181158028,in_sample
2023-11-24 00:00:00+00:00,-0.00993770187452661,16.601369485767048,-0.12447866437935662,in_sample
2023-11-25 00:00:00+00:00,0.0011393122027760602,16.620283628604977,-0.12348117223789323,in_sample
2023-11-26 00:00:00+00:00,0.004894534890694618,16.701632186718424,-0.11919102025306083,in_sample
2023-11-27 00:00:00+00:00,0.00863032996617605,16.84577278346351,-0.111589348120674,in_sample
2023-11-28 00:00:00+00:00,-0.0022776837853646656,16.80740343994268,-0.11361286665720471,in_sample
2023-11-29 00:00:00+00:00,0.012630630364076634,17.019691540172506,-0.1024172384164782,in_sample
2023-11-30 00:00:00+00:00,0.002056125394600606,17.05468616015652,-0.10057169570663071,in_sample
2023-12-01 00:00:00+00:00,-0.016563529600508886,16.77220036111538,-0.11546940304832942,in_sample
2023-12-02 00:00:00+00:00,-0.02564364981713476,16.342099928392116,-0.13815199592909921,in_sample
2023-12-03 00:00:00+00:00,-0.01644415524247954,16.073367900181523,-0.15232435830346225,in_sample
2023-12-04 00:00:00+00:00,-0.04401867806281432,15.365839493198258,-0.1896379194769917,in_sample
2023-12-05 00:00:00+00:00,0.012880996187629494,15.563766813129872,-0.1791996486071753,in_sample
2023-12-06 00:00:00+00:00,0.022105307323783914,15.907808661649819,-0.16105560458816703,in_sample
2023-12-07 00:00:00+00:00,0.011329437288145984,16.088035182273806,-0.15155083667210711,in_sample
2023-12-08 00:00:00+00:00,0.015422400060306093,16.336151297039113,-0.13846571424443233,in_sample
2023-12-09 00:00:00+00:00,0.01626099536007502,16.601793377481748,-0.12445630922121553,in_sample
2023-12-10 00:00:00+00:00,0.013937652066553907,16.83318339725791,-0.11225328589007433,in_sample
2023-12-11 00:00:00+00:00,-0.005169774681481886,16.746159631922023,-0.11684273637624865,in_sample
2023-12-12 00:00:00+00:00,-0.008987974331022781,16.595645579007098,-0.1247805311919552,in_sample
2023-12-13 00:00:00+00:00,0.0004807112023327288,16.60362329174687,-0.12435980338879937,in_sample
2023-12-14 00:00:00+00:00,-0.0012839273513150454,16.582305445671665,-0.12548406178713944,in_sample
2023-12-15 00:00:00+00:00,0.010372444121632391,16.754304482314733,-0.11641319408454975,in_sample
2023-12-16 00:00:00+00:00,0.003523045393055079,16.813330657534994,-0.11330027765860506,in_sample
2023-12-17 00:00:00+00:00,-0.0033369622978712873,16.757225207029155,-0.1162591612015913,in_sample
2023-12-18 00:00:00+00:00,0.009010682413403016,16.908219241499566,-0.10829605316742441,in_sample
2023-12-19 00:00:00+00:00,-0.011124125397985754,16.720130090400488,-0.1182154796898689,in_sample
2023-12-20 00:00:00+00:00,0.02709668035753445,17.173190110996465,-0.09432204639880337,in_sample
2023-12-21 00:00:00+00:00,0.030695465076718508,17.700329168304407,-0.0665218404032838,in_sample
2023-12-22 00:00:00+00:00,-0.017248527629221057,17.395024551598603,-0.0826229642303622,in_sample
2023-12-23 00:00:00+00:00,0.010479629417631475,17.577317962609957,-0.07300919285925112,in_sample
2023-12-24 00:00:00+00:00,0.010746721028887136,17.766216495190175,-0.0630470812585664,in_sample
2023-12-25 00:00:00+00:00,0.0025773604224182617,17.812006438440992,-0.060632215888133056,in_sample
2023-12-26 00:00:00+00:00,-0.0045312290939064585,17.73129615664628,-0.06488870652137912,in_sample
2023-12-27 00:00:00+00:00,0.008902185156026704,17.88914343808909,-0.05656417264534086,in_sample
2023-12-28 00:00:00+00:00,-0.006558581830465072,17.771816026973454,-0.06275177372083895,in_sample
2023-12-29 00:00:00+00:00,-0.010886051702259422,17.578351118860777,-0.07295470636996493,in_sample
2023-12-30 00:00:00+00:00,0.005558401721285085,17.676058655977204,-0.0678018162141425,in_sample
2023-12-31 00:00:00+00:00,0.0071964097038618394,17.80326281601511,-0.061093336158423606,in_sample
2024-01-01 00:00:00+00:00,0.0032479236186074185,17.86108645380352,-0.05804383902926469,in_sample
2024-01-02 00:00:00+00:00,-0.0036999340562104913,17.795001611752173,-0.06152901470869754,in_sample
2024-01-03 00:00:00+00:00,0.006060040550707205,17.90284004311929,-0.05584184248217017,in_sample
2024-01-04 00:00:00+00:00,0.0013151981565147901,17.92638582534038,-0.0546000874139444,in_sample
2024-01-05 00:00:00+00:00,-0.010281116891507756,17.742082557227786,-0.06431985442446286,in_sample
2024-01-06 00:00:00+00:00,-0.007188608783833629,17.614541666713396,-0.07104609293780595,in_sample
2024-01-07 00:00:00+00:00,-0.0011139802110477744,17.594919415870002,-0.07208092920724873,in_sample
2024-01-08 00:00:00+00:00,-0.009193508044077345,17.43316038268531,-0.08061176064883468,in_sample
2024-01-09 00:00:00+00:00,0.0017535389980390323,17.463730109275414,-0.0789995775167941,in_sample
2024-01-10 00:00:00+00:00,-3.062619831893133e-05,17.4631952616137,-0.07902778425838486,in_sample
2024-01-11 00:00:00+00:00,-0.002195962434068656,17.42484674084039,-0.08105020464697432,in_sample
2024-01-12 00:00:00+00:00,-0.016391305472420344,17.139230755101167,-0.09611299145642405,in_sample
2024-01-13 00:00:00+00:00,0.002275954373838363,17.178238862302464,-0.0940557858658736,in_sample
2024-01-14 00:00:00+00:00,-8.361614106960446e-05,17.176802484258427,-0.09413153742508373,in_sample
2024-01-15 00:00:00+00:00,-0.005005323437396443,17.090827032204437,-0.09866570207200842,in_sample
2024-01-16 00:00:00+00:00,0.0008209288071694688,17.104857384453524,-0.09792577078194942,in_sample
2024-01-17 00:00:00+00:00,-0.004228953331508284,17.032521740832564,-0.10174060059886891,in_sample
2024-01-18 00:00:00+00:00,-0.0004612432856096369,17.024665604542605,-0.10215491671557841,in_sample
2024-01-19 00:00:00+00:00,0.0059106854608975586,17.125293048008015,-0.096848036835671,in_sample
2024-01-20 00:00:00+00:00,0.004967587089829606,17.210364432662846,-0.09236155080330177,in_sample
2024-01-21 00:00:00+00:00,-0.0016799939450406307,17.18145112462403,-0.0938863779022383,in_sample
2024-01-22 00:00:00+00:00,-0.005358429517758346,17.089385529759923,-0.09874172388132985,in_sample
2024-01-23 00:00:00+00:00,0.001092314870571654,17.108052519703012,-0.09775726606409962,in_sample
2024-01-24 00:00:00+00:00,-0.011734558955280154,16.907297068800528,-0.10834468661744356,in_sample
2024-01-25 00:00:00+00:00,-0.003864408440589933,16.841960367300295,-0.11179040693657594,in_sample
2024-01-26 00:00:00+00:00,0.006115825861145167,16.944962864067012,-0.10635827173720136,in_sample
2024-01-27 00:00:00+00:00,0.001975428088784115,16.978436419672093,-0.10459294676588149,in_sample
2024-01-28 00:00:00+00:00,0.005440518915047106,17.070807924161244,-0.0997214677560947,in_sample
2024-01-29 00:00:00+00:00,0.00015574385329016754,17.073466597566128,-0.09958125490844871,in_sample
2024-01-30 00:00:00+00:00,0.008254195165452316,17.21439432301327,-0.09214902285583138,in_sample
2024-01-31 00:00:00+00:00,-0.001796785442343384,17.18346374989492,-0.09378023627538135,in_sample
2024-02-01 00:00:00+00:00,-0.002439858440893272,17.141538530820956,-0.09599128421520908,in_sample
2024-02-02 00:00:00+00:00,0.006892667481569005,17.25968945603641,-0.08976025273686428,in_sample
2024-02-03 00:00:00+00:00,-0.00047334736930946874,17.251519627437293,-0.09019111232667221,in_sample
2024-02-04 00:00:00+00:00,0.0013958506994578685,17.275600173175963,-0.08892115495444042,in_sample
2024-02-05 00:00:00+00:00,-0.001475580110679625,17.25010864116037,-0.09026552477745065,in_sample
2024-02-06 00:00:00+00:00,-0.011608793243914945,17.04985569651007,-0.1008264442071708,in_sample
2024-02-07 00:00:00+00:00,0.0032344638846527616,17.105002838998974,-0.09791809981492383,in_sample
2024-02-08 00:00:00+00:00,-0.001331175682413682,17.08223307517208,-0.0991189293039958,in_sample
2024-02-09 00:00:00+00:00,0.0018642193500901134,17.11407810461357,-0.09743948937987434,in_sample
2024-02-10 00:00:00+00:00,-0.009599797825937562,16.949786414831973,-0.10610388780750257,in_sample
2024-02-11 00:00:00+00:00,-0.013064258067768994,16.728350030915042,-0.1177819773029607,in_sample
2024-02-12 00:00:00+00:00,0.008153982942834393,16.864752711728887,-0.11058838659402803,in_sample
2024-02-13 00:00:00+00:00,-0.017394640820847827,16.571396395775942,-0.12605938215111567,in_sample
2024-02-14 00:00:00+00:00,0.0073994794630092295,16.69401610307987,-0.11959267649745331,in_sample
2024-02-15 00:00:00+00:00,0.005380803261791895,16.78384331937973,-0.11485537789944522,in_sample
2024-02-16 00:00:00+00:00,-0.008127458545997047,16.64743332855896,-0.12204935412277984,in_sample
2024-02-17 00:00:00+00:00,-0.014389529498307605,16.407884595606554,-0.13468265083968822,in_sample
2024-02-18 00:00:00+00:00,0.0037525772442785106,16.469456449966774,-0.13143548064614985,in_sample
2024-02-19 00:00:00+00:00,-0.006810626882853688,16.35728912712264,-0.13735094951115423,in_sample
2024-02-20 00:00:00+00:00,-0.006417763598501297,16.252311912392432,-0.14288722718566316,in_sample
2024-02-21 00:00:00+00:00,0.00997207476916317,16.41438118195457,-0.1343400345295539,in_sample
2024-02-22 00:00:00+00:00,0.0037019833260826473,16.475146947398134,-0.13113537577132484,in_sample
2024-02-23 00:00:00+00:00,0.004982822752717386,16.55723968446199,-0.12680597735268706,in_sample
2024-02-24 00:00:00+00:00,0.012739612543425838,16.76817250283067,-0.11568182382892489,in_sample
2024-02-25 00:00:00+00:00,-0.010098348074940802,16.598841660316435,-0.12461197658089729,in_sample
2024-02-26 00:00:00+00:00,0.011899253116631476,16.796355478675427,-0.11419551291496566,in_sample
2024-02-27 00:00:00+00:00,-0.0025741439272457096,16.753119242220134,-0.1164757011561226,in_sample
2024-02-28 00:00:00+00:00,0.01804295372269423,17.05539499741829,-0.10053431311920669,in_sample
2024-02-29 00:00:00+00:00,0.0011574640597902248,17.07513600415333,-0.09949321391362753,in_sample
2024-03-01 00:00:00+00:00,0.00320816089130671,17.129915787695595,-0.09660424326014905,in_sample
2024-03-02 00:00:00+00:00,0.010283478874237367,17.306070914815827,-0.08731419208063917,in_sample
2024-03-03 00:00:00+00:00,0.010891056012721948,17.494552302509224,-0.077374079824573,in_sample
2024-03-04 00:00:00+00:00,0.025488938498738806,17.94046987021085,-0.05385732448787928,in_sample
2024-03-05 00:00:00+00:00,-0.0332498235313665,17.343952412956543,-0.0853164014841522,in_sample
2024-03-06 00:00:00+00:00,0.024543854124134363,17.769639850916075,-0.06286654067244102,in_sample
2024-03-07 00:00:00+00:00,0.011611735017842519,17.97597620022741,-0.05198479526637512,in_sample
2024-03-08 00:00:00+00:00,0.007055038882120673,18.102797411264092,-0.04529651113613775,in_sample
2024-03-09 00:00:00+00:00,0.015522003740270874,18.3837891003911,-0.030477600011143302,in_sample
2024-03-10 00:00:00+00:00,0.006429012410494454,18.501978708669427,-0.024244528469362536,in_sample
2024-03-11 00:00:00+00:00,0.028521446255247874,19.02968190002448,0.0,in_sample
2024-03-12 00:00:00+00:00,0.01599214599500732,19.334007351208225,0.0,in_sample
2024-03-13 00:00:00+00:00,0.008321799004905579,19.494901074344348,0.0,in_sample
2024-03-14 00:00:00+00:00,0.016486623601438974,19.81630617050435,0.0,in_sample
2024-03-15 00:00:00+00:00,0.0004572324630330261,19.825366828982908,0.0,in_sample
2024-03-16 00:00:00+00:00,-0.009590403287784276,19.6352335657647,-0.009590403287784266,in_sample
2024-03-17 00:00:00+00:00,0.01867957263815746,20.00201133742359,0.0,in_sample
2024-03-18 00:00:00+00:00,-0.0008768295807531704,19.984472982208377,-0.0008768295807530802,in_sample
2024-03-19 00:00:00+00:00,-0.010942477629941052,19.7657933336544,-0.01180971252262153,in_sample
2024-03-20 00:00:00+00:00,0.022322711970937867,20.207019445118654,0.0,in_sample
2024-03-21 00:00:00+00:00,-0.024353812037188956,19.71490149172041,-0.024353812037189004,in_sample
2024-03-22 00:00:00+00:00,0.001977419219067001,19.75388611683215,-0.02242455051410197,in_sample
2024-03-23 00:00:00+00:00,0.0021736234555176297,19.79682362703332,-0.020299669587561242,in_sample
2024-03-24 00:00:00+00:00,0.008700375451887187,19.969063425343304,-0.011775908882634911,in_sample
2024-03-25 00:00:00+00:00,0.0014645686748189944,19.998309490101533,-0.010328586835083087,in_sample
2024-03-26 00:00:00+00:00,-0.0011878016635094991,19.97455546482181,-0.011504120185968247,in_sample
2024-03-27 00:00:00+00:00,0.0060010918607887155,20.094424607044626,-0.005572065607193033,in_sample
2024-03-28 00:00:00+00:00,0.001535863658293236,20.1252869035329,-0.004044759881967619,in_sample
2024-03-29 00:00:00+00:00,-0.006378768552532204,19.996912356321957,-0.010397727847362037,in_sample
2024-03-30 00:00:00+00:00,0.0010650253345304117,20.018209574593822,-0.009343776356410705,in_sample
2024-03-31 00:00:00+00:00,-0.004494858633067068,19.928230552468914,-0.013796636035656729,in_sample
2024-04-01 00:00:00+00:00,-0.014150435764491489,19.646237406136226,-0.027751843388159503,in_sample
2024-04-02 00:00:00+00:00,-0.013768819548896062,19.375731908476364,-0.041138552813294815,in_sample
2024-04-03 00:00:00+00:00,-0.014945877456604294,19.08614459374026,-0.05546957850080947,in_sample
2024-04-04 00:00:00+00:00,0.0028690422179002634,19.14090354835665,-0.05275968084543714,in_sample
2024-04-05 00:00:00+00:00,-0.0031492960248041724,19.08062317690065,-0.05574282101708483,in_sample
2024-04-06 00:00:00+00:00,-0.011954277480689238,18.85252811293951,-0.06703073334777954,in_sample
2024-04-07 00:00:00+00:00,-0.009301650701729008,18.67716848158842,-0.07570888758162675,in_sample
2024-04-08 00:00:00+00:00,0.013397409533207939,18.927394156656984,-0.06332578102065345,in_sample
2024-04-09 00:00:00+00:00,-0.01706218502780179,18.60445145546197,-0.07930748985565073,in_sample
2024-04-10 00:00:00+00:00,0.016815834044795256,18.917300823631468,-0.0638252773987773,in_sample
2024-04-11 00:00:00+00:00,0.01852726920682164,19.26778674865732,-0.04648051628852279,in_sample
2024-04-12 00:00:00+00:00,0.019498161759683576,19.64347317143373,-0.02788863915410633,in_sample
2024-04-13 00:00:00+00:00,-0.00016997232892840101,19.64013432455054,-0.02805387118608693,in_sample
2024-04-14 00:00:00+00:00,0.003840454693619344,19.715561370600575,-0.024321156113738418,in_sample
2024-04-15 00:00:00+00:00,0.008714718985895778,19.887376947594543,-0.015818389168785862,in_sample
2024-04-16 00:00:00+00:00,-0.004589357942403743,19.796106656246522,-0.02033515086122184,in_sample
2024-04-17 00:00:00+00:00,-0.006897523590927137,19.659562543576552,-0.027092412269358657,in_sample
2024-04-18 00:00:00+00:00,0.005873493751813056,19.775032861339625,-0.02137804563173129,in_sample
2024-04-19 00:00:00+00:00,-0.00020661536480401127,19.770947035710968,-0.021580243963838286,in_sample
2024-04-20 00:00:00+00:00,-0.010258906133982237,19.568118745891674,-0.03161776040064712,in_sample
2024-04-21 00:00:00+00:00,0.008087408615978814,19.726374118035693,-0.023786057532550586,in_sample
2024-04-22 00:00:00+00:00,0.003653491246556345,19.798444253202234,-0.02021946843897937,in_sample
2024-04-23 00:00:00+00:00,-0.008076020055405525,19.638551620347545,-0.02813219566176206,in_sample
2024-04-24 00:00:00+00:00,0.004392790744963293,19.72481966814989,-0.023862983765537304,in_sample
2024-04-25 00:00:00+00:00,0.0017827737659615876,19.759984559192596,-0.02212275230101024,in_sample
2024-04-26 00:00:00+00:00,-0.0029427545511754964,19.701835774699873,-0.025000405022167493,in_sample
2024-04-27 00:00:00+00:00,0.005249216584412698,19.805254977791805,-0.019882420978414084,in_sample
2024-04-28 00:00:00+00:00,-0.0035164225407073642,19.73561133276344,-0.02332892852582913,in_sample
2024-04-29 00:00:00+00:00,0.004098651251000386,19.816500720841727,-0.01932589441691579,in_sample
2024-04-30 00:00:00+00:00,0.0008400530152724984,19.83314763202442,-0.018502076177520976,in_sample
2024-05-01 00:00:00+00:00,-0.004244306817707093,19.74896966831323,-0.02266785450716602,in_sample
2024-05-02 00:00:00+00:00,0.0018121433348990525,19.784757632068786,-0.020896788573728675,in_sample
2024-05-03 00:00:00+00:00,-0.008878704384167968,19.609094617741235,-0.029589956549572083,in_sample
2024-05-04 00:00:00+00:00,-0.010357366582863878,19.405996036427226,-0.039640849105280984,in_sample
2024-05-05 00:00:00+00:00,0.00031041446270452277,19.412019938260123,-0.03934273973545255,in_sample
2024-05-06 00:00:00+00:00,0.005545667247610693,19.519672541441697,-0.03401525423102403,in_sample
2024-05-07 00:00:00+00:00,-0.0062798657898731226,19.39709161761917,-0.04008150878951788,in_sample
2024-05-08 00:00:00+00:00,-0.010769831131746134,19.188188216450406,-0.05041966884009519,in_sample
2024-05-09 00:00:00+00:00,0.002464439001906328,19.23547633586695,-0.04807948603654155,in_sample
2024-05-10 00:00:00+00:00,0.010005332380200795,19.427933670098785,-0.03855520489480546,in_sample
2024-05-11 00:00:00+00:00,-0.009996866804523986,19.233715204911682,-0.048166640451374865,in_sample
2024-05-12 00:00:00+00:00,-0.009906557565897894,19.04317529802814,-0.0575960324208854,in_sample
2024-05-13 00:00:00+00:00,-0.016738980648907303,18.724411955220695,-0.07337091419764563,in_sample
2024-05-14 00:00:00+00:00,-0.001624966994148281,18.693985403808625,-0.07487665587789238,in_sample
2024-05-15 00:00:00+00:00,-0.01001839178588795,18.5067017339936,-0.08414490398957841,in_sample
2024-05-16 00:00:00+00:00,-0.0034207975280657757,18.443394054449307,-0.08727785883807715,in_sample
2024-05-17 00:00:00+00:00,-0.0011182431296886328,18.42276985575978,-0.08829850410174622,in_sample
2024-05-18 00:00:00+00:00,-0.0029621404289239695,18.36819902435727,-0.09099909196185696,in_sample
2024-05-19 00:00:00+00:00,0.00641153626452184,18.485967398515893,-0.08517099967548702,in_sample
2024-05-20 00:00:00+00:00,-0.0018360472936509772,18.45202628810333,-0.08685066898568616,in_sample
2024-05-21 00:00:00+00:00,0.0009518846241299091,18.469590488211015,-0.08598145617795916,in_sample
