time,Baseline (equal weight),Spread-weighted legs,Conviction sizing 50–100%,Conviction sizing 70–100%,Vol target 15%,Vol target 20%,sample
2023-06-15 00:00:00+00:00,16.1531704702956,21.071999434330632,8.98452216057824,11.394172776618822,2.775568957325009,3.72079966763653,in_sample
2023-06-16 00:00:00+00:00,16.089252706676508,20.98221393691656,8.951261019426308,11.350829102141015,2.767605418060213,3.7065655966141002,in_sample
2023-06-17 00:00:00+00:00,16.04247725540192,20.923425669639478,8.92682051357246,11.319033861908768,2.761646684407686,3.695925140903799,in_sample
2023-06-18 00:00:00+00:00,16.038093626218796,20.928218210929405,8.924507803340637,11.316037202409982,2.7610616566779775,3.6948812136427858,in_sample
2023-06-19 00:00:00+00:00,16.013562397595802,20.89377531331383,8.911352684206609,11.29910557513036,2.757887484870064,3.689217600998923,in_sample
2023-06-20 00:00:00+00:00,15.849927248312753,20.67038668681397,8.827494117132266,11.189124619108568,2.736698012811897,3.6514241455846013,in_sample
2023-06-21 00:00:00+00:00,15.721642690786915,20.507558482079062,8.761273435631354,11.102537981785522,2.7198960296400436,3.6215335417692516,in_sample
2023-06-22 00:00:00+00:00,15.861532768506397,20.681486633437654,8.828792500307117,11.193391086339586,2.7373204793569372,3.6524676796475304,in_sample
2023-06-23 00:00:00+00:00,15.576830566355774,20.330765568299164,8.696957439733419,11.012739498062231,2.7027402645297642,3.5909461452545544,in_sample
2023-06-24 00:00:00+00:00,15.532706390530626,20.31243734854297,8.675844999206918,10.98422077849566,2.697137300532612,3.5810204451633667,in_sample
2023-06-25 00:00:00+00:00,15.496497174606098,20.28654520910786,8.659577311426464,10.961620778494067,2.693031474280215,3.5737519743783266,in_sample
2023-06-26 00:00:00+00:00,15.448195775888014,20.237279785245953,8.637555858578795,10.931228811227395,2.6873180451815233,3.563642733191991,in_sample
2023-06-27 00:00:00+00:00,15.41160206550085,20.19416958044242,8.621362176096888,10.908574931278846,2.682505010172958,3.5551326687860176,in_sample
2023-06-28 00:00:00+00:00,15.62409488395082,20.4580794710296,8.719885742145113,11.04353412158211,2.7105785922149983,3.6047406823251076,in_sample
2023-06-29 00:00:00+00:00,15.413327165824501,20.162979240329822,8.626155094496188,10.912718963483217,2.68246329079052,3.5548874290348422,in_sample
2023-06-30 00:00:00+00:00,15.071256992081658,19.779581093135587,8.466774111435114,10.69486676958764,2.638299581532215,3.476851187544467,in_sample
2023-07-01 00:00:00+00:00,14.853785861372211,19.5457257589919,8.367616584503248,10.557987089017374,2.6110281872349836,3.42893215145418,in_sample
2023-07-02 00:00:00+00:00,14.792896949384224,19.49587547067454,8.34949028387107,10.526952584353825,2.6024978703013817,3.413995569184293,in_sample
2023-07-03 00:00:00+00:00,14.724490611983512,19.40273592769975,8.327073391291863,10.49052300505856,2.592957445469193,3.3973085401691225,in_sample
2023-07-04 00:00:00+00:00,14.666003190170306,19.345068528151046,8.306169760991985,10.458054414324549,2.58411536513251,3.3818619439317326,in_sample
2023-07-05 00:00:00+00:00,14.524973867771527,19.163208427263665,8.25465093689078,10.378908755336676,2.5624994547043918,3.344143284851901,in_sample
2023-07-06 00:00:00+00:00,14.412613953823856,19.00086081486145,8.216671163314418,10.31814166081884,2.5433418248863675,3.31080819659552,in_sample
2023-07-07 00:00:00+00:00,14.50760851637309,19.17984823283717,8.24263869347145,10.364910046115995,2.559508748313929,3.338868696668802,in_sample
2023-07-08 00:00:00+00:00,14.47159708229051,19.115885169599757,8.228964019004774,10.344301414251658,2.55354383511908,3.328493756838259,in_sample
2023-07-09 00:00:00+00:00,14.452397291902075,19.103873052680626,8.223235416747837,10.334491090144672,2.5504902318806244,3.323186675139862,in_sample
2023-07-10 00:00:00+00:00,14.45015732811684,19.088575196560072,8.22248686632833,10.333285955665229,2.550132802419668,3.3225657201003926,in_sample
2023-07-11 00:00:00+00:00,14.42794093709202,19.07129250731574,8.215823147857282,10.321906573263968,2.5465897857736635,3.316410795858753,in_sample
2023-07-12 00:00:00+00:00,14.272339875503796,18.84954890617689,8.168332405908963,10.241580245882574,2.521721553649936,3.273229767934124,in_sample
2023-07-13 00:00:00+00:00,14.670435131196196,19.435403268198915,8.286325449061739,10.444611599873136,2.585480535651709,3.38357649914998,in_sample
2023-07-14 00:00:00+00:00,14.692681859531685,19.514661289744197,8.293385600002752,10.456286458282317,2.5887205960128243,3.3892301185023728,in_sample
2023-07-15 00:00:00+00:00,14.811381473151641,19.707789917839815,8.350132341981752,10.533003981425574,2.604382692565619,3.4165704963128793,in_sample
2023-07-16 00:00:00+00:00,14.669607326397276,19.49849401033687,8.284057862996564,10.442666821812148,2.5857336277270315,3.3839506897623166,in_sample
2023-07-17 00:00:00+00:00,14.747248484008962,19.573240191334392,8.32079489042464,10.49256043317962,2.595678883630272,3.401304503892154,in_sample
2023-07-18 00:00:00+00:00,14.661942652279071,19.455662228462753,8.28259667783797,10.43938176820925,2.5848566606930548,3.3823963223752376,in_sample
2023-07-19 00:00:00+00:00,14.721941305051965,19.558312196728316,8.310554128738723,10.477612049597525,2.5922753025006857,3.3953398056761244,in_sample
2023-07-20 00:00:00+00:00,14.712183859509466,19.546312361035923,8.306389272877658,10.47168376874611,2.5909450747051586,3.393016711170222,in_sample
2023-07-21 00:00:00+00:00,14.747295402035524,19.615011126177425,8.32089536104486,10.492652804149936,2.5954462457548724,3.4008761591843157,in_sample
2023-07-22 00:00:00+00:00,14.656009991335504,19.45998335801651,8.279265709698821,10.435176089324424,2.5814097351476515,3.376352985511548,in_sample
2023-07-23 00:00:00+00:00,14.732433699187938,19.554906060298006,8.315471748383223,10.48432219096936,2.5936170761618014,3.3976417625788966,in_sample
2023-07-24 00:00:00+00:00,14.656945654640205,19.512430094721665,8.280220255352223,10.436166297801623,2.581631886318064,3.3767076100808056,in_sample
2023-07-25 00:00:00+00:00,14.705820941483394,19.641940861177627,8.302740712161592,10.467117046873291,2.5893692865818587,3.3902013688109394,in_sample
2023-07-26 00:00:00+00:00,14.733089268190804,19.68532835497474,8.313812838685578,10.483255583555264,2.59359761373813,3.3975827701878467,in_sample
2023-07-27 00:00:00+00:00,14.672888619543945,19.59585428178198,8.287999224202421,10.446591676743424,2.5837061198357967,3.380305780585465,in_sample
2023-07-28 00:00:00+00:00,14.587584372633541,19.469368501900423,8.249540949133433,10.393213409136626,2.5693422191974613,3.3552490730975886,in_sample
2023-07-29 00:00:00+00:00,14.686625608851722,19.615930078219733,8.294768592100295,10.455627089074968,2.586153143939393,3.3845197760486334,in_sample
2023-07-30 00:00:00+00:00,14.63410763826928,19.525881412009806,8.26955648682618,10.42160371428735,2.577328560841382,3.369121370592975,in_sample
2023-07-31 00:00:00+00:00,14.596062866316696,19.445934067740886,8.25128264405442,10.396948732425347,2.571023474295615,3.3581319028432897,in_sample
2023-08-01 00:00:00+00:00,14.62234301013423,19.460860078598788,8.26391058092125,10.413983621389123,2.575335087565344,3.365640697800398,in_sample
2023-08-02 00:00:00+00:00,14.443587692641131,19.21762975612536,8.178039577566121,10.29813248849883,2.545916734340242,3.31437922255666,in_sample
2023-08-03 00:00:00+00:00,14.392790132012125,19.141574270248785,8.152598394301553,10.264423262108574,2.5361443168624755,3.2985249264273113,in_sample
2023-08-04 00:00:00+00:00,14.373740672730841,19.132297595490897,8.144616415340092,10.252959340587477,2.531478623040971,3.2919763230261,in_sample
2023-08-05 00:00:00+00:00,14.40493323057287,19.191867240600516,8.157812005544038,10.27182621602387,2.5388345619202206,3.302692235210191,in_sample
2023-08-06 00:00:00+00:00,14.418214955971159,19.203415865107054,8.163354944680036,10.279802174396863,2.542342028795776,3.3072599882126856,in_sample
2023-08-07 00:00:00+00:00,14.421339019812555,19.19360473744176,8.164476135619246,10.281540247874275,2.543168320971563,3.3083348880572387,in_sample
2023-08-08 00:00:00+00:00,14.480257550779342,19.287027672829687,8.190585530495818,10.31807015006434,2.5587535320189274,3.3286092430893244,in_sample
2023-08-09 00:00:00+00:00,14.485976324360177,19.296766323661654,8.191593364166676,10.32046191020769,2.5602693474711864,3.3305811240313807,in_sample
2023-08-10 00:00:00+00:00,14.523067491009055,19.33779836385605,8.211964481194943,10.346431230569422,2.570102655379474,3.3433729928784928,in_sample
2023-08-11 00:00:00+00:00,14.579466116034004,19.389101776021786,8.242659268220574,10.385706704907882,2.5850736925958993,3.3628483867504095,in_sample
2023-08-12 00:00:00+00:00,14.689257550671396,19.51809681641686,8.301883672104097,10.46176420840368,2.6142742422348215,3.4008345461108673,in_sample
2023-08-13 00:00:00+00:00,14.659711092911898,19.418491854847613,8.285582632342328,10.441021728620687,2.606386585911469,3.390573719729709,in_sample
2023-08-14 00:00:00+00:00,14.710867632138363,19.487784235052935,8.31301492039228,10.476336896602922,2.62002945889612,3.408321342762073,in_sample
2023-08-15 00:00:00+00:00,14.662456657366697,19.397977079663363,8.288804106960965,10.444239794525101,2.6070963488436703,3.391497030016129,in_sample
2023-08-16 00:00:00+00:00,14.463874240546435,19.13243125771165,8.175371344256515,10.301900746260799,2.5541321519902858,3.3225974220652708,in_sample
2023-08-17 00:00:00+00:00,14.3003295221482,18.921911235639797,8.096299400686538,10.19552302456031,2.510658069012728,3.2662439253424753,in_sample
2023-08-18 00:00:00+00:00,14.37231505560468,19.00207974108704,8.128903764409998,10.240686916982204,2.528581434498155,3.2909065365432117,in_sample
2023-08-19 00:00:00+00:00,14.44885235738382,19.082924807981023,8.163535031990378,10.288677738010223,2.5465608151375294,3.3171942750606185,in_sample
2023-08-20 00:00:00+00:00,14.48693713017037,19.123923525699457,8.179585905216195,10.3116629908644,2.555649015574834,3.3303096340313227,in_sample
2023-08-21 00:00:00+00:00,14.327936245762771,18.900059181542076,8.121232307221993,10.222254499530623,2.518233532704402,3.275482084314894,in_sample
2023-08-22 00:00:00+00:00,14.228075318865464,18.76360379628391,8.084440828554449,10.16597039863032,2.4947086353410324,3.241238561238923,in_sample
2023-08-23 00:00:00+00:00,14.336186013007275,18.9211580132153,8.124369590427598,10.226994084020948,2.5179862430433,3.2781809314697843,in_sample
2023-08-24 00:00:00+00:00,14.216283388007652,18.769952652976166,8.079725165932766,10.159060981309125,2.490309518482522,3.2370546690297273,in_sample
2023-08-25 00:00:00+00:00,14.227745875064082,18.796196408989275,8.08409700755881,10.165635619493868,2.492783683822615,3.240969689879271,in_sample
2023-08-26 00:00:00+00:00,14.241416874644752,18.797407632464097,8.0906361409457,10.174476476704191,2.4957380348322102,3.245640910710073,in_sample
2023-08-27 00:00:00+00:00,14.303701348954805,18.88133191146849,8.113635865281445,10.209629749739067,2.5092777879050594,3.2669330026102847,in_sample
2023-08-28 00:00:00+00:00,14.318357850969157,18.905897101897438,8.119039808385146,10.217894295378015,2.5124118662535624,3.2719542704239832,in_sample
2023-08-29 00:00:00+00:00,14.552416712336207,19.2139973284931,8.205307842839268,10.349847630816178,2.5623898563672607,3.3521830821653373,in_sample
2023-08-30 00:00:00+00:00,14.416486599824015,19.030196091985495,8.155489555869535,10.273474322877496,2.532508198181027,3.3049485740839923,in_sample
2023-08-31 00:00:00+00:00,14.283606902613432,18.862419056668028,8.106628529021231,10.198667083483977,2.5076165943754662,3.2616368509140856,in_sample
2023-09-01 00:00:00+00:00,14.101355765330087,18.611667210203564,8.038582229945854,10.095251274358676,2.474991321859203,3.2050562761702763,in_sample
2023-09-02 00:00:00+00:00,14.13292698215203,18.670346391988847,8.052176914744326,10.114535817908887,2.4804980768426885,3.214564435904156,in_sample
2023-09-03 00:00:00+00:00,14.200775824205135,18.762520014341018,8.08127459619121,10.155889000665674,2.4922758847256006,3.2349154681997945,in_sample
2023-09-04 00:00:00+00:00,14.225608618092997,18.79213059361728,8.091771934838887,10.170908133639388,2.4965511390589143,3.2423143742669147,in_sample
2023-09-05 00:00:00+00:00,14.160613793740557,18.687719936736286,8.065025191838464,10.132148845883359,2.485398109996478,3.223001530570932,in_sample
2023-09-06 00:00:00+00:00,14.175571636703912,18.637870494559028,8.07056259285419,10.140603883488733,2.487798471749236,3.2271518352763477,in_sample
2023-09-07 00:00:00+00:00,14.186943379757356,18.643132278641655,8.074770863123325,10.147030425735695,2.489734900019627,3.230501060501053,in_sample
2023-09-08 00:00:00+00:00,14.113969256497334,18.55782535527374,8.047773359114336,10.105797314623597,2.475515403801646,3.2059007987828982,in_sample
2023-09-09 00:00:00+00:00,14.121999011469546,18.569369659524245,8.050749422795025,10.11033935301555,2.477078817691651,3.2086224450597616,in_sample
2023-09-10 00:00:00+00:00,14.012105153631055,18.4107177141658,8.010027628189444,10.04818521224703,2.4552739474813357,3.1711694012079232,in_sample
2023-09-11 00:00:00+00:00,13.887062354556441,18.270139403757675,7.963565117966827,9.977346603721116,2.430285026039212,3.1287205442461214,in_sample
2023-09-12 00:00:00+00:00,13.85105120809451,18.21876935402359,7.950142183970763,9.95690717688389,2.422851073116841,3.1165507118999383,in_sample
2023-09-13 00:00:00+00:00,13.872405981637915,18.224601401185442,7.958109287999681,9.96903446750327,2.427044042114201,3.1237580964178293,in_sample
2023-09-14 00:00:00+00:00,13.936255978226093,18.306214500772484,7.98191780495873,10.005282903851532,2.440463308827627,3.1453245006950583,in_sample
2023-09-15 00:00:00+00:00,14.026678229767644,18.394402777682764,8.015580571876656,10.056567349618247,2.4597504707257203,3.1759360928930644,in_sample
2023-09-16 00:00:00+00:00,14.216576408903515,18.603571503375463,8.086117136895725,10.16412537579137,2.4996716661854714,3.2404315284352125,in_sample
2023-09-17 00:00:00+00:00,14.175621180027585,18.568019228601212,8.070975678112188,10.140993468741337,2.490980697006384,3.2262077265855877,in_sample
2023-09-18 00:00:00+00:00,14.257789669298711,18.674416022927534,8.101384710315783,10.187431179014308,2.50643910943046,3.252902460196992,in_sample
2023-09-19 00:00:00+00:00,14.283521735903006,18.705092226705176,8.109734014576137,10.201085090144776,2.510898868320943,3.2610284916218646,in_sample
2023-09-20 00:00:00+00:00,14.087395085500315,18.47538775252927,8.020650383950917,10.077822765638832,2.468547029387487,3.1938628506733258,in_sample
2023-09-21 00:00:00+00:00,14.150688583850666,18.530294847808015,8.049479277796186,10.117668129253202,2.4826053580922887,3.2153874922245236,in_sample
2023-09-22 00:00:00+00:00,14.106681855493049,18.473752605709052,8.02945304396881,10.089979298854763,2.4731373551193667,3.2003883616419713,in_sample
2023-09-23 00:00:00+00:00,14.122199023284418,18.50678445710039,8.036518879659017,10.099746284102473,2.476606300618391,3.2056689404181,in_sample
2023-09-24 00:00:00+00:00,14.067324387262959,18.42276405005609,8.011536875217711,10.065211045483107,2.4642948213823344,3.18698453623777,in_sample
2023-09-25 00:00:00+00:00,14.079140757047387,18.43817580873134,8.016920544757308,10.07265113445169,2.4669561846548507,3.1910000746664786,in_sample
2023-09-26 00:00:00+00:00,13.931468122365864,18.23008072801697,7.949650543026037,9.979679527583789,2.4336532780455165,3.14079565561565,in_sample
2023-09-27 00:00:00+00:00,13.839015526893537,18.10142342520084,7.907445898441835,9.921399266360867,2.4126298398300277,3.1095310350107654,in_sample
2023-09-28 00:00:00+00:00,14.094294594611782,18.427026914878954,8.02413659298229,10.082451075589969,2.4664488696570155,3.195570195323423,in_sample
2023-09-29 00:00:00+00:00,14.173281445395885,18.51960402974485,8.059887453174605,10.132005494997818,2.482449133081485,3.221927349402562,in_sample
2023-09-30 00:00:00+00:00,14.238987581307452,18.61440994627155,8.090874699234474,10.174166201673232,2.493928642460285,3.24179275556263,in_sample
2023-10-01 00:00:00+00:00,14.443347800336687,18.898734663313572,8.18713671606955,10.305203619092639,2.529219297202472,3.302957290336927,in_sample
2023-10-02 00:00:00+00:00,14.30127091660562,18.73986432747942,8.119101587068744,10.213273605929068,2.504041441830032,3.2591169474298325,in_sample
2023-10-03 00:00:00+00:00,14.370917841647735,18.846678238027696,8.157646771510429,10.26226130832505,2.5159352654238876,3.279757373687392,in_sample
2023-10-04 00:00:00+00:00,14.437920175754602,18.954900005397437,8.190690709759627,10.306341257121272,2.5269509024788697,3.298903927179686,in_sample
2023-10-05 00:00:00+00:00,14.320148764892103,18.816081803532636,8.136699699879347,10.23195124341079,2.5076509937264464,3.265309529697133,in_sample
2023-10-06 00:00:00+00:00,14.125223269091117,18.635725153812153,8.045132173858796,10.107152375548523,2.4756416373731702,3.2097353653490055,in_sample
2023-10-07 00:00:00+00:00,14.132736448800808,18.63739513298174,8.048211499015036,10.11162391153759,2.47682719092266,3.211784834382469,in_sample
2023-10-08 00:00:00+00:00,14.166871643793982,18.66675840951933,8.064566970749414,10.133722294263272,2.4822435655326474,3.2211496270459476,in_sample
2023-10-09 00:00:00+00:00,13.780588978493345,18.191279392595288,7.875639732573337,9.880756771114795,2.4207424329200435,3.114738178344844,in_sample
2023-10-10 00:00:00+00:00,13.82018561302904,18.23468699817633,7.891310937775462,9.903909803045654,2.4267448131099365,3.125035758946096,in_sample
2023-10-11 00:00:00+00:00,13.793042554088892,18.198216310055322,7.881236810659316,9.888543171374502,2.4231012121091546,3.118779705785356,in_sample
2023-10-12 00:00:00+00:00,13.687106381169361,18.045855084752407,7.841891594365825,9.828544227122613,2.408609853579409,3.0939105534412596,in_sample
2023-10-13 00:00:00+00:00,13.920460884845964,18.329841742033295,7.928795388013128,9.96092375621577,2.440789273094484,3.149024084589167,in_sample
2023-10-14 00:00:00+00:00,13.812614901108152,18.214956839350727,7.88886799734645,9.899959248794127,2.4259719633581587,3.1235350261970845,in_sample
2023-10-15 00:00:00+00:00,13.678503005856545,18.037749664321616,7.839080597932393,9.824022518294697,2.4090221492331207,3.094436949820967,in_sample
2023-10-16 00:00:00+00:00,13.851057099360867,18.283944052562497,7.903290150497924,9.921875345091857,2.4306621032545177,3.1314995526354497,in_sample
2023-10-17 00:00:00+00:00,13.86014295784784,18.311787818579866,7.906189450458465,9.926662607937493,2.4317531744745513,3.1333737684621323,in_sample
2023-10-18 00:00:00+00:00,14.055766685099554,18.520333378196103,7.986486069517888,10.043195187697789,2.45541681964877,3.1740286868057606,in_sample
2023-10-19 00:00:00+00:00,14.132942362957987,18.65681699798022,8.023877094693688,10.093464824169715,2.464750363292816,3.190115533399349,in_sample
2023-10-20 00:00:00+00:00,14.352845047214263,18.93661521274083,8.127217690617032,10.234281921430592,2.4922534615399115,3.2375783852112208,in_sample
2023-10-21 00:00:00+00:00,14.57675443102896,19.241037880766275,8.23166437841102,10.377060602335057,2.5200691776499244,3.2857573058208476,in_sample
2023-10-22 00:00:00+00:00,14.634643673165932,19.3176436087277,8.259741502936732,10.414781808346456,2.5269179214157855,3.297663492134542,in_sample
2023-10-23 00:00:00+00:00,15.001650102199301,19.801336289376895,8.46687864282418,10.675962877459295,2.5700112463036415,3.372646687028742,in_sample
2023-10-24 00:00:00+00:00,15.018793545347108,19.772490854597685,8.475347811734926,10.687250258040041,2.571891610747968,3.375936843792419,in_sample
2023-10-25 00:00:00+00:00,14.887611710652909,19.659030046804038,8.412423987566278,10.602303653365574,2.5577578726430703,3.351200390664852,in_sample
2023-10-26 00:00:00+00:00,15.112405248997486,19.979784741586396,8.520392935328173,10.747983817064084,2.582073266325629,3.3936780922902763,in_sample
2023-10-27 00:00:00+00:00,15.10465650293232,19.891385621625947,8.516679495533385,10.742968871375146,2.581210685271251,3.3921664788824284,in_sample
2023-10-28 00:00:00+00:00,15.261135443860825,20.056279783019747,8.591674834839207,10.84424585413181,2.5983461254677716,3.4221918031316063,in_sample
2023-10-29 00:00:00+00:00,14.988171688670871,19.767192512538266,8.461053266104795,10.667740093200287,2.568586672117541,3.369931607656942,in_sample
2023-10-30 00:00:00+00:00,14.678027188945052,19.385536186455372,8.312234129998945,10.466863542367241,2.534673040859992,3.310606314544929,in_sample
2023-10-31 00:00:00+00:00,14.802540748670523,19.547097304392448,8.372169840047272,10.547662715448231,2.549506244816754,3.336438389868552,in_sample
2023-11-01 00:00:00+00:00,15.208777278003478,20.085822796511724,8.567468679960648,10.811077613595337,2.593244547880586,3.412756515516897,in_sample
2023-11-02 00:00:00+00:00,15.242918241257755,20.118665104568358,8.583816239256986,10.833162331063823,2.5967957792922607,3.418987828152236,in_sample
2023-11-03 00:00:00+00:00,15.232480741182561,20.084639738453742,8.577596984712201,10.82548576552605,2.595717533328711,3.4170949775581683,in_sample
2023-11-04 00:00:00+00:00,14.968972182248782,19.785193071434048,8.429212078867852,10.638214355024964,2.5686739926199724,3.36962687111249,in_sample
2023-11-05 00:00:00+00:00,15.33394681009532,20.205826095340647,8.634733774283426,10.897596113365143,2.607052831280793,3.4367548219048163,in_sample
2023-11-06 00:00:00+00:00,15.588176475721813,20.557506232921376,8.777893621346715,11.078273159551934,2.6324077706039177,3.4813204498978854,in_sample
2023-11-07 00:00:00+00:00,15.438404695729664,20.357475897438686,8.693555292594894,10.971832698544226,2.618172564963353,3.456219317234774,in_sample
2023-11-08 00:00:00+00:00,15.415575996762074,20.35806160654532,8.68070017183312,10.955608699320582,2.615997836876044,3.4523915393789903,in_sample
