time,S1,S2,S3,S4,S5,ensemble_eq,ensemble_opt,buy_hold,sample
2022-03-05 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.7891168180545307,in_sample
2022-03-06 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.695387537854985,in_sample
2022-03-07 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.65330559305903,in_sample
2022-03-08 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.7251037613925826,in_sample
2022-03-09 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.03569988538853,in_sample
2022-03-10 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.792205842586774,in_sample
2022-03-11 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.7254020784034845,in_sample
2022-03-12 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.733062089393098,in_sample
2022-03-13 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.6321250852849842,in_sample
2022-03-14 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.815936479647563,in_sample
2022-03-15 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.7790991403658523,in_sample
2022-03-16 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.955664318302327,in_sample
2022-03-17 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.935677078571889,in_sample
2022-03-18 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.017800864734407,in_sample
2022-03-19 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.059825070754059,in_sample
2022-03-20 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.9705994151061965,in_sample
2022-03-21 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.9437508841250124,in_sample
2022-03-22 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.0753760478385015,in_sample
